"Model","MAE_Global","MSE_Global","R2_Global"
"RF",0.0105620001625831,0.00219823896815653,0.864669886944359
"KNN",0.0120105848032579,0.00228866391609947,0.837846689826916
"SVM",0.0108376237649086,0.0023857453682274,0.843252235344086
"GBM",0.0116347371369982,0.00200874953021921,0.872038114658212
